Model,Dataset,N_Training_Samples,BATCH_SIZE,LEARNING_RATE,EPOCHS,Time_Seconds,Accuracy,BIGRAM_BOOL,BINARY_BOOL
Ensemble_Descriptions,E-Commerce,200.0,16.0,0.001,14.0,0.67,0.5365168539325843,True,True
ConvNeXtBase,E-Commerce,200.0,64.0,0.001,5.0,130.573,0.4719101123595505,,
Xception,E-Commerce,200.0,16.0,0.001,32.0,412.55,0.449438214302063,,
Inception,E-Commerce,200.0,16.0,0.01,28.0,198.01,0.4101123511791229,,
ResNet,E-Commerce,200.0,32.0,0.001,7.0,102.2298,0.3904494382022472,,
ViT,E-Commerce,200.0,32.0,0.001,9.0,110.093,0.2387640449438202,,
VGG19,E-Commerce,200.0,16.0,0.001,5.0,86.55,0.1769662946462631,,
Full-NN-Training,E-Commerce,200.0,16.0,1e-05,5.0,36.97,0.0561797752808988,,
GPT,Emotion-6,200.0,,,,,0.6629526462395543,,
Phi,Emotion-6,200.0,,,,,0.5793871866295265,,
Ensemble_AllProba,Emotion-6,200.0,64.0,0.01,14.0,0.31,0.5376044568245125,,
Ensemble_Descriptions,Emotion-6,200.0,64.0,0.001,12.0,0.19,0.4540389972144846,True,False
Xception,Emotion-6,200.0,16.0,0.001,13.0,174.33,0.4206128120422363,,
Inception,Emotion-6,200.0,32.0,0.01,6.0,46.9,0.3871866166591644,,
ConvNeXtBase,Emotion-6,200.0,16.0,1e-05,13.0,270.1993,0.3732590529247911,,
ResNet,Emotion-6,200.0,16.0,0.001,2.0,65.157,0.3509749303621169,,
ViT,Emotion-6,200.0,16.0,1e-05,32.0,318.2746,0.3509749303621169,,
VGG19,Emotion-6,200.0,32.0,0.001,4.0,72.28,0.3314763307571411,,
Full-NN-Training,Emotion-6,200.0,16.0,1e-05,5.0,39.67,0.2924791086350975,,
GPT,FILGRIM,200.0,,,,,0.9888579387186629,,
Ensemble_AllProba,FILGRIM,200.0,16.0,0.01,32.0,5.15,0.98050139275766,,
Phi,FILGRIM,200.0,,,,,0.947075208913649,,
Ensemble_Descriptions,FILGRIM,200.0,16.0,0.001,32.0,1.37,0.9442896935933148,True,False
ConvNeXtBase,FILGRIM,200.0,16.0,1e-05,32.0,490.6437,0.8467966573816156,,
Xception,FILGRIM,200.0,32.0,0.01,8.0,117.86,0.8328690528869629,,
Inception,FILGRIM,200.0,16.0,0.001,32.0,227.43,0.8189415335655212,,
ResNet,FILGRIM,200.0,64.0,0.001,11.0,147.7013,0.7298050139275766,,
ViT,FILGRIM,200.0,64.0,0.001,5.0,72.7296,0.7186629526462396,,
VGG19,FILGRIM,200.0,16.0,0.001,11.0,191.3,0.4261838495731354,,
Full-NN-Training,FILGRIM,200.0,32.0,1e-05,3.0,38.59,0.1699164345403899,,
Ensemble_AllProba,FashionImages,200.0,32.0,0.01,17.0,0.19,0.9302325581395348,,
GPT,FashionImages,200.0,,,,,0.9047619047619048,,
Xception,FashionImages,200.0,16.0,0.001,26.0,334.69,0.8633720874786377,,
Inception,FashionImages,200.0,64.0,0.001,32.0,211.57,0.8575581312179565,,
ResNet,FashionImages,200.0,64.0,0.001,13.0,99.8857,0.8459302325581395,,
ConvNeXtBase,FashionImages,200.0,64.0,0.001,13.0,191.3885,0.8401162790697675,,
VGG19,FashionImages,200.0,32.0,0.001,9.0,150.87,0.8372092843055725,,
Ensemble_Descriptions,FashionImages,200.0,16.0,0.001,32.0,1.19,0.8052325581395349,False,False
ViT,FashionImages,200.0,32.0,0.001,5.0,54.6722,0.7877906976744186,,
Phi,FashionImages,200.0,,,,,0.7591036414565826,,
Full-NN-Training,FashionImages,200.0,64.0,1e-05,6.0,19.05,0.5145348837209303,,
Xception,GenImgNet,200.0,32.0,0.01,5.0,92.64,0.5041782855987549,,
